rank	URI	name	Linked Institution	P	P_top	PP_top
1	http://dbpedia.org/resource/Rockefeller_University	Rockefeller University	Rockefeller University	1033	300	29,1%
2	http://dbpedia.org/resource/Massachusetts_Institute_of_Technology	Massachusetts Institute of Technology	Massachusetts Institute of Technology	9149	2304	25,2%
3	http://dbpedia.org/resource/Harvard_University	Harvard University	Harvard University	29693	6818	23,0%
4	http://dbpedia.org/resource/University_of_California,_Berkeley	University of California, Berkeley	University of California, Berkeley	11384	2560	22,5%
5	http://dbpedia.org/resource/Stanford_University	Stanford University	Stanford University	13399	2993	22,3%
6	http://dbpedia.org/resource/California_Institute_of_Technology	California Institute of Technology	California Institute of Technology	5072	1127	22,2%
7	http://dbpedia.org/resource/Princeton_University	Princeton University	Princeton University	5017	1101	21,9%
8	http://dbpedia.org/resource/University_of_California,_Santa_Barbara	University of California, Santa Barbara	University of California, Santa Barbara	4246	901	21,2%
9	http://dbpedia.org/resource/University_of_California,_San_Francisco	University of California, San Francisco	University of California, San Francisco	9990	2021	20,2%
10	http://dbpedia.org/resource/Yale_University	Yale University	Yale University	9775	1957	20,0%
11	http://dbpedia.org/resource/Rice_University	Rice University	Rice University	2324	447	19,2%
12	http://dbpedia.org/resource/University_of_California,_Santa_Cruz	University of California, Santa Cruz	University of California, Santa Cruz	1945	367	18,9%
13	http://dbpedia.org/resource/Northwestern_University	Northwestern University	Northwestern University	9306	1745	18,8%
14	http://dbpedia.org/resource/University_of_California,_San_Diego	University of California, San Diego	University of California, San Diego	11300	2114	18,7%
15	http://dbpedia.org/resource/University_of_Colorado_at_Boulder	University of Colorado, Boulder	University of Colorado, Boulder	4893	909	18,6%
16	http://dbpedia.org/resource/University_of_Texas_Southwestern_Medical_Center	University of Texas Southwestern Medical Center, Dallas	University of Texas Southwestern Medical Center, Dallas	4059	749	18,4%
17	http://dbpedia.org/resource/University_of_Pennsylvania	University of Pennsylvania	University of Pennsylvania	11603	2138	18,4%
18	http://dbpedia.org/resource/University_of_Chicago	University of Chicago	University of Chicago	6818	1254	18,4%
19	http://dbpedia.org/resource/University_of_Cambridge	University of Cambridge	University of Cambridge	11778	2163	18,4%
20	http://dbpedia.org/resource/University_of_California,_Los_Angeles	University of California, Los Angeles	University of California, Los Angeles	13757	2488	18,1%
21	http://dbpedia.org/resource/%C3%89cole_Polytechnique_F%C3%A9d%C3%A9rale_de_Lausanne	Ecole Polytechnique Federale de Lausanne	Ecole Polytechnique Federale de Lausanne	4616	818	17,7%
22	http://dbpedia.org/resource/Weizmann_Institute_of_Science	Weizmann Institute of Science	Weizmann Institute of Science	2444	433	17,7%
23	http://dbpedia.org/resource/Centre_for_History_in_Public_Health,_London_School_of_Hygiene_and_Tropical_Medicine	London School of Hygiene & Tropical Medicine	London School of Hygiene & Tropical Medicine	1592	280	17,6%
24	http://dbpedia.org/resource/University_of_Oxford	University of Oxford	University of Oxford	12100	2124	17,6%
25	http://dbpedia.org/resource/ETH_Zurich	ETH Zurich	ETH Zurich	7763	1361	17,5%
26	http://dbpedia.org/resource/Columbia_University	Columbia University	Columbia University	11520	2004	17,4%
27	http://dbpedia.org/resource/Johns_Hopkins_University	Johns Hopkins University	Johns Hopkins University	12364	2148	17,4%
28	http://dbpedia.org/resource/Washington_University_in_St._Louis	Washington University, St. Louis	Washington University, St. Louis	8312	1437	17,3%
29	http://dbpedia.org/resource/Duke_University	Duke University	Duke University	10113	1743	17,2%
30	http://dbpedia.org/resource/University_of_Massachusetts_Medical_School	University of Massachusetts Medical School	University of Massachusetts Medical School	1969	339	17,2%
31	http://dbpedia.org/resource/University_of_Washington	University of Washington, Seattle	University of Washington, Seattle	12968	2224	17,1%
32	http://dbpedia.org/resource/Cornell_University	Cornell University	Cornell University	11130	1876	16,9%
33	http://dbpedia.org/resource/Imperial_College_London	Imperial College London	Imperial College London	10063	1688	16,8%
34	http://dbpedia.org/resource/University_of_North_Carolina_at_Chapel_Hill	University of North Carolina, Chapel Hill	University of North Carolina, Chapel Hill	8939	1475	16,5%
35	http://dbpedia.org/resource/New_York_University	New York University	New York University	7493	1229	16,4%
36	http://dbpedia.org/resource/Icahn_School_of_Medicine_at_Mount_Sinai	Icahn School of Medicine, Mount Sinai	Icahn School of Medicine, Mount Sinai	3492	569	16,3%
37	http://dbpedia.org/resource/Boston_University	Boston University	Boston University	5963	960	16,1%
38	http://dbpedia.org/resource/University_of_Michigan	University of Michigan	University of Michigan	15609	2513	16,1%
39	http://dbpedia.org/resource/University_of_St_Andrews	University of St Andrews	University of St Andrews	2009	323	16,1%
40	http://dbpedia.org/resource/Boston_College	Boston College	Boston College	1051	169	16,0%
41	http://dbpedia.org/resource/University_College_London	University College London	University College London	11434	1833	16,0%
42	http://dbpedia.org/resource/Dartmouth_College	Dartmouth College	Dartmouth College	2424	385	15,9%
43	http://dbpedia.org/resource/University_of_Texas_at_Austin	University of Texas at Austin	University of Texas at Austin	8033	1271	15,8%
44	http://dbpedia.org/resource/Emory_University	Emory University	Emory University	6721	1039	15,5%
45	http://dbpedia.org/resource/King's_College_London	King's College London	King's College London	6228	962	15,4%
46	http://dbpedia.org/resource/Carnegie_Mellon_University	Carnegie Mellon University	Carnegie Mellon University	2922	447	15,3%
47	http://dbpedia.org/resource/University_of_California,_Irvine	University of California, Irvine	University of California, Irvine	6174	942	15,3%
